idParroquia;nombreParroquia;idCanton
130105;SAN PABLO;1301
100457;SAN PABLO;1004
170450;TABACUNDO, CABECERA CANTONAL;1704
100251;IMBAYA (SAN LUIS DE COBUENDO);1002
170203;JUAN MONTALVO;1702
100201;ANDRADE MARÍN  (LOURDES) ;1002
170454;TUPIGACHI;1704
100456;SAN JUAN DE ILUMÁN;1004
170252;CANGAHUA;1702
100455;SAN JOSE DE QUICHINCHE;1004
100653;PABLO ARENAS;1006
190350;GUAYZIMI;1903
210156;PACAYACU;2101
110156;MALACATOS (VALLADOLID);1101
110201;CARIAMANGA;1102
110802;MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA);1108
110901;CATACOCHA, CABECERA CANTONAL;1109
111350;ZAPOTILLO, CABECERA CANTONAL;1113
190156;TIMBARA;1901
110754;PURUNUMA (EGUIGUREN);1107
110450;CELICA, CABECERA CANTONAL;1104
110750;GONZANAMÁ, CABECERA CANTONAL;1107
120250;BABA, CAB CANTONAL;1202
071354;GUIZHAGUIÑA;0713
190652;PACHICUTZA;1906
110650;AMALUZA, CABECERA CANTONAL;1106
131850;OLMEDO, CAB CANTONAL;1318
110550;CHAGUARPAMBA, CABECERA CANTONAL;1105
110202;CHILE;1102
130401;EL CARMEN, CABECERA CANTONAL;1304
110158;SAN PEDRO DE VILCABAMBA;1101
110163;QUINARA;1101
190850;PALANDA, CAB CANTONAL;1908
110105;CARIGÁN;1101
190157;ZUMBI, CAB CANTONAL;1901
180163;SAN BARTOLOMÉ DE PINLLOG;1801
010554;EL CABO;0105
110106;PUNZARA;1101
120153;FEBRES CORDERO (LAS JUNTAS) (CAB EN MATA DE CACAO);1201
130852;SANTA MARIANITA (BOCA DE PACOCHE);1308
121150;VALENCIA;1211
120510;VIVA ALFARO;1205
121250;MOCACHE, CAB CANTONAL;1212
020251;SAN JOSE DEL TAMBO (TAMBOPAMBA);0202
090101;AYACUCHO;0901
120252;ISLA DE BEJUCAL;1202
120505;NICOLÁS INFANTE DÍAZ;1205
120506;SAN CRISTÓBAL;1205
120450;PUEBLOVIEJO, CAB CANTONAL;1204
120150;BABAHOYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1201
131250;ROCAFUERTE, CABECERA CANTONAL;1312
132150;JARAMIJÓ, CABECERA CANTONAL;1321
130750;JUNÍN;1307
131350;SANTA ANA DE VUELTA LARGA;1313
130550;FLAVIO ALFARO, CABECERA CANTONAL;1305
130451;WILFRIDO LOOR MOREIRA (MAICITO);1304
130108;18 DE OCTUBRE;1301
130601;DOCTOR MIGUEL MORÁN LUCIO ;1306
130152;ALHAJUELA (BAJO GRANDE);1301
230153;LUZ DE AMÉRICA;2301
130109;SIMÓN BOLÍVAR;1301
130155;RIOCHICO (RIO CHICO);1301
130104;PICOAZÁ;1301
130151;ABDÓN CALDERÓN (SAN FRANCISCO);1301
131552;ANGEL PEDRO GILER (LA ESTANCILLA);1315
170152;AMAGUAÑA;1701
131352;HONORATO VASQUEZ (CAB EN VASQUEZ);1313
140156;SAN ISIDRO;1401
131457;SAN ISIDRO;1314
130107;FRANCISCO PACHECO;1301
130156;SAN PLACIDO;1301
131650;SUCRE, CAB CANTONAL;1316
130803;SAN MATEO;1308
140652;HUAMBI;1406
180550;PATATE, CABECERA CANTONAL;1805
141250;SANTA MARIANITA DE JESUS;1412
140164;RIO BLANCO;1401
140153;GENERAL PROAÑO;1401
140351;INDANZA;1403
140358;YUNGANZA (CAB EN EL ROSARIO);1403
150156;PUERTO NAPO;1501
150352;COTUNDO;1503
210752;AGUAS NEGRAS;2107
220157;INÉS ARANGO (CAB. EN WESTERN);2201
210454;SAN PEDRO DE LOS COFANES;2104
